row,stim_idx,edit_type,word_orig,in_ctx,in_full_prefix,d_own,d_pos2,d_foreign,d_noinj
263,75,corrupt_det,"""Tremble""",False,False,37.187455743551254,7.276641845703125,-8.52325439453125,-14.836030960083008
265,76,corrupt_det,"""The",True,True,35.02098560333252,32.0796594619751,18.509946823120117,19.35218334197998
266,76,corrupt,"collapsing""),",False,False,22.884772419929504,5.997314453125,-0.5987453460693359,0.395843505859375
266,76,corrupt_det,"(""The",True,True,11.687501430511476,12.4375,4.46875,1.5625
267,77,corrupt,"silver,",False,False,0.4381098747253418,0.0012788772583007,0.1586551666259765,-0.5660972595214844
268,77,corrupt_det,"""The",False,True,19.810128211975098,18.697065353393555,16.894704818725586,13.420998573303224
269,77,corrupt,"impure.""",False,False,2.3763484954833984,-5.831851959228516,-5.569602966308594,-4.782871246337891
269,77,corrupt_det,"(""Almost",False,False,1.6875,-5.062498092651367,-6.71875,-1.90625
270,78,corrupt,numbered,False,False,9.726244151592256,6.628891944885254,7.175220012664795,7.112870216369629
270,78,corrupt_det,TV,False,False,16.000000581145287,6.0,-10.7734375,2.03125
271,78,corrupt,defined,False,False,9.859375,2.703125,5.671875,1.703125
271,78,corrupt_det,Plot,True,True,15.531250476837158,6.10546875,1.8125,2.5
272,78,corrupt_det,Plot,True,True,16.59374989569187,-1.1875,-1.21875,0.8125
273,79,corrupt_det,David,False,False,5.1875001192092896,1.8125,0.6875,3.03125
274,79,corrupt,"""Arnon.""",False,False,11.699106216430664,-0.3468055725097656,-2.5305042266845703,0.7262306213378906
274,79,corrupt_det,"""Canadian",False,False,13.782077074050903,2.503739356994629,2.185652732849121,2.59958553314209
275,79,corrupt,"""DA""",False,False,9.49366021156311,-7.239389419555664,-1.9731121063232424,0.8744220733642578
275,79,corrupt_det,Darren,False,False,12.037109851837158,2.9375,0.640625,-1.84375
276,80,corrupt_det,French,False,True,17.58593738079071,13.242187023162842,1.166015625,8.8828125
277,80,corrupt,"Av""",True,True,14.596946597099304,-2.8135910034179688,-9.697959899902344,-12.290178298950195
277,80,corrupt_det,"""The",True,True,21.359606742858887,21.432886123657227,17.800040245056152,15.21822452545166
278,80,corrupt,"""Armentières,""",False,False,6.2782135009765625,-1.26141357421875,-13.230758666992188,-16.737499237060547
278,80,corrupt_det,"""Av""",True,True,32.87817180197453,-21.464191436767575,-8.06256103515625,-5.179664611816406
279,81,corrupt_det,"""Star",False,False,7.249999761581421,1.65625,0.125,2.90625
280,81,corrupt,@Y',False,False,2.437716007232666,0.5821723937988281,-1.4658679962158203,0.4625072479248047
280,81,corrupt_det,M3,False,False,4.400261402130127,-0.086374282836914,2.0405445098876953,3.7326693534851074
281,81,corrupt_det,"-1""",False,False,2.096388339996338,3.5355186462402344,3.3916473388671875,4.332660675048828
283,82,corrupt,"in""),",True,True,16.484229071065784,13.875890254974363,11.308553993701937,9.56653967499733
283,82,corrupt_det,15,False,False,0.8096799850463867,0.0387091636657714,0.9249086380004884,0.7705183029174805
284,82,corrupt,bird's,False,False,5.661689758300781,12.496282368898392,0.4505558013916015,2.842421531677246
