row,stim_idx,claim_idx,n_claims,is_last,has_det,error,cos_claim,cos_corrupt,cos_paraphrase,cos_corrupt_det,d_true_corrupt,d_true_para,d_para_corrupt,d_true_det
187,55,1,3,False,True,,0.7250938099932526,0.7198732434968788,0.5513937185793627,0.7241226823782955,0.005220566496373813,0.17370009141388987,-0.16847952491751605,0.0009711276149571013
188,55,2,3,True,True,,0.7643256734949482,0.7634793741443109,0.7292967243379042,0.764949675988739,0.0008462993506372918,0.03502894915704402,-0.03418264980640673,-0.0006240024937907984
189,56,0,5,False,False,,0.539667323224064,0.4965025871848226,0.47830130894152856,,0.04316473603924137,0.06136601428253541,-0.01820127824329404,
190,56,1,5,False,True,,0.6070271625357309,0.5941254290049088,0.5075046432623632,0.5863348589343559,0.012901733530822024,0.09952251927336764,-0.08662078574254561,0.020692303601374973
191,56,2,5,False,False,,0.5173857673965786,0.5644432634700894,0.5403742552930965,,-0.04705749607351084,-0.022988487896517862,-0.02406900817699298,
192,56,3,5,False,True,,0.6209183096795179,0.610463174656068,0.6513841737431076,0.6162045778326242,0.010455135023449857,-0.030465864063589754,0.04092099908703961,0.004713731846893721
193,56,4,5,True,False,,0.6726796282297344,0.6491336852331835,0.5933091314369847,,0.023545942996550884,0.07937049679274966,-0.05582455379619877,
195,57,1,4,False,True,,0.5295039928190473,0.5373523817770255,0.5980140949264618,0.5122209118587671,-0.007848388957978236,-0.0685101021074146,0.06066171314943636,0.017283080960280195
196,57,2,4,False,False,,0.7284390059840644,0.7244196879167375,0.5246561599970667,,0.004019318067326916,0.2037828459869977,-0.19976352791967078,
197,57,3,4,True,True,,0.867155479015275,0.8559774072534276,0.7127576266236947,0.8678648837879305,0.011178071761847375,0.15439785239158033,-0.14321978062973295,-0.0007094047726554642
198,58,0,3,False,True,,0.5356454512099209,0.5383749658386124,0.5076863725141757,0.5337271374936747,-0.0027295146286915317,0.02795907869574521,-0.03068859332443674,0.0019183137162461783
199,58,1,3,False,True,,0.5823686124142075,0.5737007462270489,0.5451458310885411,0.5729382483792044,0.008667866187158535,0.037222781325666365,-0.02855491513850783,0.00943036403500308
200,58,2,3,True,True,,0.7819845446359653,0.7776313520765687,0.729924272311605,0.819962998352684,0.00435319255939659,0.05206027232436039,-0.0477070797649638,-0.03797845371671871
201,59,0,3,False,True,,0.38859498592059005,0.39489143552470163,0.37827767971229403,0.40015994451687364,-0.006296449604111576,0.010317306208296018,-0.016613755812407593,-0.011564958596283592
202,59,1,3,False,True,,0.5285418507224621,0.5331059823520578,0.5075915726512421,0.5285418507224621,-0.00456413162959568,0.020950278071219963,-0.025514409700815643,0.0
203,59,2,3,True,False,,0.8292304938492305,0.8189021904053903,0.8289403143550805,,0.010328303443840281,0.0002901794941500002,0.01003812394969028,
204,60,0,3,False,False,,0.33868260779780046,0.3312773964350704,0.34314447541758525,,0.007405211362730035,-0.004461867619784787,0.011867078982514823,
206,60,2,3,True,True,,0.8480154316874058,0.8490371582206065,0.8447196586577324,0.8238387375970477,-0.001021726533200762,0.0032957730296734322,-0.004317499562874194,0.024176694090358053
207,61,0,5,False,True,,0.4608441736910516,0.45262980203585884,0.3625742972508114,0.4111600701330723,0.008214371655192731,0.09826987644024016,-0.09005550478504742,0.04968410355797925
208,61,1,5,False,False,,0.4727572531706906,0.473994243824338,0.4418291002859525,,-0.0012369906536474073,0.030928152884738103,-0.03216514353838551,
209,61,2,5,False,True,,0.46902284613636963,0.46640017249657495,0.5492959580892596,0.46157136923623426,0.0026226736397946815,-0.08027311195288994,0.08289578559268462,0.0074514769001353676
210,61,3,5,False,True,,0.8038818289433893,0.7631890547862683,0.7154366686192852,0.8121349485274898,0.040692774157121026,0.0884451603241041,-0.047752386166983074,-0.008253119584100466
211,61,4,5,True,True,,0.835051090475368,0.8369520021525216,0.8238981120330885,0.8210252578319428,-0.0019009116771536716,0.011152978442279471,-0.013053890119433142,0.014025832643425162
212,62,0,3,False,False,,0.33187851210641284,0.3270769958921607,0.3187943325829231,,0.004801516214252122,0.013084179523489725,-0.008282663309237603,
