stim_idx,doc_idx,pos,variant,cos,cos_minus_V0
38,244,52,V3,0.902262003144489,-0.003532179379667766
39,51,279,V3,0.8958433380788731,0.006310330148494581
0,391,437,V4,0.902269007366408,-0.0015153721210252602
1,358,269,V4,0.8038260619597587,-0.015946114213855722
2,601,168,V4,0.9463655972870009,-0.008742920167564616
3,452,53,V4,0.8696014028614538,-0.004252037592446745
4,354,102,V4,0.9414404164808847,0.002285129981851375
5,147,338,V4,0.9007218295791021,-0.005826657661098245
6,553,265,V4,0.8232879149407867,0.014412690962467889
7,293,497,V4,0.8714093768760616,-0.008273103675678795
8,42,329,V4,0.9180013008802664,0.00331417846881088
9,229,293,V4,0.7394301729531672,-0.04538748118687064
10,74,153,V4,0.8577955752947047,-0.0006205145972485449
11,399,348,V4,0.8845250323224099,-0.009286365795619034
12,457,211,V4,0.9419790957477714,0.0018077835273411225
13,117,290,V4,0.9161324110453514,-0.0059839272752304495
14,472,395,V4,0.9341227561537806,-0.0008746864919837449
15,454,435,V4,0.9026135524308863,0.00434737376606853
16,167,60,V4,0.8804273547621697,-0.001595277010510543
17,100,26,V4,0.9311448208749361,0.00354570648018504
18,353,55,V4,0.890513417228684,-0.0008482222886461166
19,592,254,V4,0.9080838440098118,-0.001259614483672844
20,270,216,V4,0.8642409365887168,-0.02245548464704683
21,459,18,V4,0.8649158433513535,-0.019154178953043943
22,536,20,V4,0.8528126049589253,-0.0004971396126016714
23,83,276,V4,0.9235171903632362,0.0010889487501356543
24,524,143,V4,0.8935133370467493,-0.010628905697573243
25,18,394,V4,0.9184370362334751,0.0058213525330653715
26,134,244,V4,0.8979382983867614,-0.007873521734035105
27,265,415,V4,0.9083844079070531,-0.004761815366407296
28,109,204,V4,0.8648334888937075,0.0028642593783630987
29,111,487,V4,0.8194656517112061,0.025973878203002565
30,126,432,V4,0.8771622652296782,-0.00780545275900657
31,442,365,V4,0.9380397574565937,-0.001467910496803726
32,545,450,V4,0.9647792729099485,0.001043272796623973
33,168,303,V4,0.9281623643790667,0.002524314524236404
34,152,435,V4,0.8650172446912443,-0.0071120528978502184
35,228,202,V4,0.9400331715206272,0.004463831021622844
36,64,225,V4,0.8820847309468829,0.004385275161864266
37,171,372,V4,0.8408153334996793,-0.017038771128579322
38,244,52,V4,0.8955222543155495,-0.010271928208607228
39,51,279,V4,0.9014802891486827,0.01194728121830424
0,391,437,V5,0.9013527251129191,-0.0024316543745142027
1,358,269,V5,0.8144169000211928,-0.005355276152421595
2,601,168,V5,0.9525546515157571,-0.002553865938808353
3,452,53,V5,0.8727544414218731,-0.0010989990320274812
4,354,102,V5,0.9420903809443891,0.0029350944453557792
5,147,338,V5,0.9068405674347573,0.000292080194556954
6,553,265,V5,0.8215128288514327,0.012637604873113939
7,293,497,V5,0.8714879675458357,-0.00819451300590468
8,42,329,V5,0.9194338300841248,0.00474670767266927
