row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj
372,107,2,3,True,corrupt_det,True,,2.0,"""19""","""26""",-0.00011002412065863609,-31.080909729003906,4.0,4.0,31.080799704883248,-26.452186584472656,-29.697856903076172,3.2456703186035156,27.835129386279732
373,108,0,3,False,corrupt,False,,,,,,,,,,,,,
375,108,2,3,True,corrupt,False,,,,,,,,,,,,,
376,109,0,3,False,corrupt,False,,,,,,,,,,,,,
376,109,0,3,False,corrupt_det,True,,10.0,Los,Reviewers,-0.806473433971405,-27.798385620117188,1.0,2.0,26.991912186145782,-11.922940254211426,-20.47930335998535,8.556363105773926,18.435549080371857
377,109,1,3,False,corrupt,False,,,,,,,,,,,,,
377,109,1,3,False,corrupt_det,False,,,,,,,,,,,,,
378,109,2,3,True,corrupt,False,,,,,,,,,,,,,
378,109,2,3,True,corrupt_det,True,,5.0,"(""An","(""Warenne",-8.57144832611084,-53.766883850097656,2.0,4.0,45.195435523986816,-8.884401321411133,-21.855770111083984,12.971368789672852,32.224066734313965
380,110,1,3,False,corrupt,True,,8.0,"activity""","inactivity""",-4.6142578125,-20.478899002075195,2.0,3.0,15.864641189575195,-10.333274841308594,-20.18791389465332,9.854639053344727,6.010002136230469
380,110,1,3,False,corrupt_det,True,,2.0,"""Proteins","""Destiny",-3.481351852416992,-20.4024715423584,4.0,3.0,16.921119689941406,-20.960742950439453,-17.375566482543945,-3.585176467895508,20.506296157836914
381,110,2,3,True,corrupt,False,,,,,,,,,,,,,
382,111,0,3,False,corrupt,True,,1.0,football,basketball,-0.4002472758293152,-9.962747573852539,1.0,1.0,9.562500298023224,-16.062824249267578,-18.000324249267578,1.9375,7.625000298023224
382,111,0,3,False,corrupt_det,True,,9.0,"(""Seasons""),","(""Depot""),",-2.991611957550049,-31.64096450805664,4.0,4.0,28.649352550506592,-16.620189666748047,-30.79099464416504,14.170804977416992,14.4785475730896
383,111,1,3,False,corrupt,True,,32.0,"""First","""Last",-4.604794025421143,-15.6047945022583,2.0,2.0,11.000000476837158,-15.78226089477539,-16.56351089477539,0.78125,10.218750476837158
383,111,1,3,False,corrupt_det,True,,3.0,1995–96,2002–96,-4.205644130706787,-22.939674377441406,8.0,8.0,18.73403024673462,-20.34208106994629,-23.75008773803711,3.4080066680908203,15.326023578643799
384,111,2,3,True,corrupt,True,,35.0,"""third","""last",-3.2264997959136963,-14.726499557495117,2.0,2.0,11.499999761581421,-13.620641708374023,-12.901891708374023,-0.71875,12.218749761581421
384,111,2,3,True,corrupt_det,True,,21.0,1995–96,2002–96,-1.543713927268982,-19.419187545776367,8.0,8.0,17.875473618507385,-11.83076000213623,-17.136816024780273,5.306056022644043,12.569417595863342
385,112,0,3,False,corrupt,False,,,,,,,,,,,,,
385,112,0,3,False,corrupt_det,True,,6.0,New,Symbolic,-0.5387420654296875,-22.235910415649414,1.0,2.0,21.697168350219727,-11.494257926940918,-17.619747161865234,6.125489234924316,15.57167911529541
386,112,1,3,False,corrupt,False,,,,,,,,,,,,,
386,112,1,3,False,corrupt_det,True,,9.0,15th,22th,-4.3567728996276855,-12.107635498046875,4.0,4.0,7.7508625984191895,-8.385833740234375,-13.200565338134766,4.814731597900391,2.936131000518799
388,113,0,4,False,corrupt,True,,13.0,African-American,Asian-American,-1.1574878692626953,-16.303098678588867,2.0,2.0,15.145610809326172,-11.55717945098877,-12.188998222351074,0.6318187713623047,14.513792037963867
388,113,0,4,False,corrupt_det,True,,16.0,John,The,-0.4928954541683197,-11.180395126342773,1.0,1.0,10.687499672174454,-2.8037216663360596,-8.11622142791748,5.312499761581421,5.374999910593033
389,113,1,4,False,corrupt,True,,10.0,November,January,-1.0340393781661987,-3.1590394973754883,1.0,1.0,2.1250001192092896,-6.173495769500732,-6.360995769500732,0.1875,1.9375001192092896
389,113,1,4,False,corrupt_det,True,,6.0,William,Lithobates,-2.391004800796509,-28.209394454956055,1.0,3.0,25.818389654159546,-3.964660882949829,-20.59436798095703,16.629707098007202,9.188682556152344
390,113,2,4,False,corrupt,False,,,,,,,,,,,,,
390,113,2,4,False,corrupt_det,True,,2.0,"""November","""Obama",-0.00027831539046019316,-27.62527847290039,2.0,2.0,27.62500015750993,-16.093671798706055,-16.593671798706055,0.5,27.12500015750993
391,113,3,4,True,corrupt,False,,,,,,,,,,,,,
391,113,3,4,True,corrupt_det,True,,11.0,"""25,","""32,",-9.417245864868164,-18.11362075805664,4.0,4.0,8.696374893188477,-11.100168228149414,-13.374147415161133,2.2739791870117188,6.422395706176758
392,114,0,3,False,corrupt,True,,19.0,Texas.,Alaska.,-12.678608894348145,-17.83769416809082,2.0,2.0,5.159085273742676,-15.83352279663086,-17.81698989868164,1.9834671020507812,3.1756181716918945
392,114,0,3,False,corrupt_det,True,,19.0,Texas.,Sm.,-12.678608894348145,-35.693111419677734,2.0,2.0,23.01450252532959,-15.83352279663086,-24.897308349609375,9.063785552978516,13.950716972351074
393,114,1,3,False,corrupt,True,,31.0,"Southeast""","Northwest""",-1.350568413734436,-7.340404987335205,2.0,2.0,5.989836573600769,-8.042366981506348,-10.1671781539917,2.1248111724853516,3.8650254011154175
393,114,1,3,False,corrupt_det,True,,3.0,"""The","""Feeder",-9.622084617614746,-30.261749267578125,2.0,3.0,20.63966464996338,-6.378751277923584,-22.19094467163086,15.812193393707275,4.8274712562561035
394,114,2,3,True,corrupt,False,,,,,,,,,,,,,
394,114,2,3,True,corrupt_det,True,,32.0,"12th""","19th""",-3.9894933700561523,-4.597949504852295,5.0,5.0,0.6084561347961426,-11.563971519470215,-10.315933227539062,-1.2480382919311523,1.856494426727295
395,115,0,3,False,corrupt,True,,17.0,"""X&Y.""","""V&A"".",-9.368412971496582,-25.39196014404297,5.0,4.0,16.023547172546387,-20.764921188354492,-25.704532623291016,4.939611434936523,11.083935737609863
396,115,1,3,False,corrupt,True,,6.0,"""Yellow""","""Black""",-13.577792167663574,-12.357890129089355,3.0,3.0,-1.2199020385742188,-16.288692474365234,-13.629560470581055,-2.6591320037841797,1.439229965209961
396,115,1,3,False,corrupt_det,True,,3.0,"""Murphy","""PCA",-11.5335111618042,-21.804582595825195,3.0,2.0,10.271071434020996,-18.246368408203125,-19.09357261657715,0.8472042083740234,9.423867225646973
397,115,2,3,True,corrupt,False,,,,,,,,,,,,,
397,115,2,3,True,corrupt_det,True,,10.0,"""Imagine","""Canadian",-15.762014389038086,-22.199514389038086,2.0,2.0,6.4375,-25.738731384277344,-23.691856384277344,-2.046875,8.484375
398,116,0,3,False,corrupt,False,,,,,,,,,,,,,
