stim_idx,doc_idx,split,token_type,entropy_nats,top1_prob,topic_true,topic_foreign,foreign_stim_idx,topic_in_default_explanation,error,yn_true,yn_foreign,yn_conf,yn_torn,yn_true_noinj,yn_foreign_noinj,yn_conf_noinj,yn_torn_noinj,yn_true_swap,yn_foreign_swap,cc_true,cc_foreign,n_tok_true,n_tok_foreign,cc_true_pt,cc_foreign_pt,cc_true_swap,cc_foreign_swap,cc_true_swap_pt,cc_foreign_swap_pt,cc_true_noinj,cc_foreign_noinj,cc_true_noinj_pt,cc_foreign_noinj_pt,cc_true_corr,cc_foreign_corr
80,528,eval,word_initial,0.0218204334378242,0.9980878233909608,Le souper de Beaucaire,M-122 (Michigan highway),180,False,,1.25,1.25,1.25,1.625,2.5625,2.0625,2.4375,3.5625,2.5,2.6875,-43.00408935546875,-71.48202514648438,7,9,-6.143441336495536,-7.942447238498264,-66.82781219482422,-47.69477081298828,-9.546830313546318,-5.2994189792209205,-33.940040588378906,-51.54554748535156,-4.848577226911273,-5.727283053927952,-9.064048767089844,-19.936477661132812
81,149,eval,punctuation,0.0030776176135987,0.9996799230575562,AIL Storm,Diamond stingray,181,False,,2.5,2.5625,3.0,3.0,2.8125,2.875,2.4375,3.5625,3.125,3.375,-33.19641876220703,-36.6753044128418,3,3,-11.065472920735678,-12.225101470947266,-40.0857048034668,-27.319133758544922,-13.3619016011556,-9.106377919514975,-30.086151123046875,-37.69851303100586,-10.028717041015625,-12.566171010335287,-3.1102676391601562,1.0232086181640625
82,207,eval,word_initial,0.0220960807055234,0.9972820281982422,Fieldfare,E. W. Hornung,182,False,,3.875,3.6875,3.25,3.4375,3.0625,3.125,2.4375,3.5625,2.375,2.25,-21.99314308166504,-42.888545989990234,2,6,-10.99657154083252,-7.148090998331706,-33.85625076293945,-28.219667434692383,-16.928125381469727,-4.7032779057820635,-29.320369720458984,-25.712703704833984,-14.660184860229492,-4.285450617472331,7.327226638793945,-17.17584228515625
83,497,eval,word_initial,1.549921989440918,0.4421021342277527,2nd Battalion 9th Marines,Yamaha NS-10,183,False,,1.71875,1.90625,2.875,1.9375,2.1875,2.6875,2.4375,3.5625,1.9375,2.4375,-22.492841720581055,-47.843177795410156,8,5,-2.811605215072632,-9.568635559082031,-52.91625213623047,-33.5891227722168,-6.614531517028809,-6.717824554443359,-33.724220275878906,-33.024688720703125,-4.215527534484863,-6.604937744140625,11.231378555297852,-14.818489074707031
84,69,eval,word_initial,0.0164959523826837,0.9980225563049316,Central Area Command (RAAF),Florida State Road 878,184,False,,2.0,0.9375,2.625,2.1875,2.75,1.8125,2.4375,3.5625,1.6875,1.46875,-36.90001678466797,-56.658748626708984,7,7,-5.271430969238281,-8.094106946672712,-58.79237365722656,-36.87874221801758,-8.398910522460938,-5.2683917454310825,-51.94538879394531,-42.07035446166992,-7.420769827706473,-6.0100506373814175,15.045372009277344,-14.588394165039062
85,173,eval,word_initial,0.5974832773208618,0.8714507222175598,The Food Album,Qedarite,185,False,,3.9375,2.78125,5.25,3.8125,3.1875,2.4375,2.4375,3.5625,3.03125,1.3125,-38.82508087158203,-37.0244140625,3,3,-12.941693623860678,-12.341471354166666,-46.19051742553711,-21.692502975463867,-15.396839141845703,-7.230834325154622,-34.90637969970703,-30.192893981933594,-11.635459899902344,-10.064297993977865,-3.918701171875,-6.831520080566406
86,425,eval,word_initial,0.240834891796112,0.959275484085083,Independence Day (India),Kyra (Charmed),186,False,,1.0625,0.4375,1.0625,1.3125,3.375,2.875,2.4375,3.5625,1.3125,1.46875,-17.976930618286133,-53.51403045654297,5,6,-3.5953861236572267,-8.919005076090494,-33.90349197387695,-31.939678192138672,-6.78069839477539,-5.323279698689778,-24.155668258666992,-37.88705825805664,-4.831133651733398,-6.3145097096761065,6.178737640380859,-15.626972198486328
87,413,eval,word_initial,1.716650366783142,0.5539160370826721,Project Chanology,Corn crake,187,False,,0.9375,0.4375,0.625,0.5625,3.25,3.0,2.4375,3.5625,3.0,3.8125,-19.25472640991211,-44.268463134765625,3,3,-6.41824213663737,-14.756154378255209,-38.93645095825195,-23.88825798034668,-12.978816986083984,-7.96275266011556,-31.69856834411621,-37.0374641418457,-10.566189448038736,-12.345821380615234,12.443841934204102,-7.230998992919922
88,537,eval,punctuation,4.08516263961792,0.1909951120615005,Draining and development of the Everglades,Battle of Binh Gia,188,False,,0.5625,0.75,2.75,2.125,1.9375,2.6875,2.4375,3.5625,0.0625,0.625,-40.99993896484375,-44.393978118896484,9,6,-4.555548773871528,-7.398996353149414,-52.80184555053711,-36.18150329589844,-5.866871727837457,-6.030250549316406,-54.398170471191406,-33.9549560546875,-6.044241163465712,-5.659159342447917,13.398231506347656,-10.439022064208984
89,272,eval,word_initial,3.867855072021485,0.2070023566484451,Banksia violacea,Somerset County Cricket Club in 2009,189,False,,2.875,2.1875,3.4375,2.6875,2.75,1.75,2.4375,3.5625,1.625,2.0,-27.76734733581543,-59.07915496826172,4,10,-6.941836833953857,-5.907915496826172,-51.703731536865234,-33.5083122253418,-12.925932884216309,-3.35083122253418,-32.730873107910156,-45.726322174072266,-8.182718276977539,-4.572632217407227,4.963525772094727,-13.352832794189453
